user_id,tenure_months,active_days_30d,sessions_30d,family_members,features_used,support_tickets_90d,price_tier,months_since_last_active,autopay,prior_offers,acquisition_channel,mrr,annual_value
929,17.1,1,0,4,2,1,1,2.38,1,0,organic,12.96,155.52
941,24.0,5,13,5,3,1,1,0.2,1,0,organic,13.11,157.32
943,12.0,1,1,5,1,1,2,4.43,0,2,organic,20.95,251.4
944,38.5,1,0,1,8,1,0,2.67,1,1,referral,7.36,88.32
945,13.3,6,7,6,4,1,0,2.68,0,0,organic,9.1,109.2
952,7.2,2,1,5,3,0,0,2.61,1,1,paid_search,9.8,117.6
957,10.2,3,15,1,8,0,1,5.33,1,1,organic,12.53,150.36
961,10.9,5,14,6,6,2,1,0.44,0,0,organic,16.4,196.8
963,31.5,5,14,1,5,0,1,3.26,1,0,paid_search,13.86,166.32
970,33.9,4,21,6,6,0,1,0.21,1,0,paid_search,15.35,184.2
971,17.7,1,3,4,6,2,0,0.69,0,0,organic,9.4,112.8
972,29.8,0,0,2,7,0,0,4.67,1,0,organic,8.57,102.84
974,30.2,0,0,4,6,0,0,1.77,1,0,organic,9.22,110.64
976,32.3,6,12,1,8,2,0,2.23,1,0,organic,7.68,92.16
979,18.5,7,17,1,4,1,0,4.08,1,1,organic,8.27,99.24
981,16.6,6,15,4,3,0,1,4.63,1,0,organic,13.56,162.72
982,4.6,3,8,2,3,0,2,0.7,1,0,referral,19.68,236.16
986,24.9,0,0,4,5,1,0,0.53,1,1,referral,8.38,100.56
1006,7.2,7,24,3,1,2,1,2.39,1,0,organic,13.82,165.84
1011,8.5,6,22,1,5,0,0,2.97,1,0,organic,8.64,103.68
1017,17.2,5,15,5,7,0,0,1.14,0,1,referral,9.58,114.96
1020,19.0,2,7,1,6,0,1,0.84,1,0,organic,14.18,170.16
1031,39.5,5,12,4,7,0,1,1.09,0,1,organic,13.61,163.32
1041,11.2,0,5,1,3,0,1,2.9,0,1,organic,12.41,148.92
1044,3.6,3,11,5,2,1,0,1.48,1,0,organic,8.6,103.2
1046,10.4,5,15,4,7,0,1,0.13,1,0,app_store,14.82,177.84
1048,10.0,1,1,2,1,0,0,1.06,0,2,referral,7.84,94.08
1049,64.6,6,10,2,1,0,1,0.97,1,1,referral,13.01,156.12
1050,38.5,4,10,5,5,0,0,4.82,1,1,referral,8.51,102.12
1056,16.1,4,25,5,6,0,1,0.47,1,0,organic,15.61,187.32
1057,29.6,6,25,3,8,0,1,0.86,0,1,referral,14.66,175.92
1059,26.9,3,15,6,5,0,0,3.21,1,0,organic,8.6,103.2
1064,15.6,3,1,6,6,0,0,0.81,1,0,paid_search,9.75,117.0
1071,18.6,5,16,3,8,1,0,0.59,1,1,referral,7.64,91.68
1072,54.5,5,11,5,4,0,2,0.04,0,0,paid_search,24.06,288.72
1073,6.7,6,27,1,7,0,1,1.37,1,2,organic,14.14,169.68
1087,25.7,6,23,3,6,0,1,1.57,1,0,paid_search,13.5,162.0
1098,30.0,4,14,5,7,0,1,1.05,0,1,organic,14.95,179.4
1099,10.2,2,3,2,3,2,0,0.49,0,0,paid_search,7.91,94.92
1102,4.1,7,22,6,5,0,0,3.5,1,2,paid_search,9.17,110.04
1103,20.5,7,20,4,4,0,0,5.73,0,0,paid_search,9.04,108.48
1107,24.3,0,3,3,7,0,0,4.81,0,1,paid_search,9.05,108.6
1117,33.6,4,15,3,5,0,0,2.25,1,0,paid_search,9.17,110.04
1124,33.0,2,1,5,5,0,1,3.06,0,1,organic,15.92,191.04
1126,5.8,1,0,1,6,0,0,0.14,1,0,paid_search,8.59,103.08
1130,15.3,2,14,3,1,0,0,0.67,1,1,referral,8.31,99.72
1131,20.1,0,2,1,2,0,1,1.23,1,2,paid_search,13.57,162.84
1132,15.6,1,17,6,6,1,1,3.01,0,1,organic,13.98,167.76
1134,33.2,4,0,3,4,0,0,6.12,1,1,organic,8.03,96.36
1135,10.9,5,16,4,3,1,0,1.9,1,1,app_store,8.29,99.48
1144,12.7,2,7,6,8,0,1,0.43,0,0,referral,15.3,183.6
1156,6.0,2,1,6,1,0,0,5.58,1,1,paid_search,9.67,116.04
1160,5.2,0,1,3,2,0,0,0.61,1,2,app_store,7.74,92.88
1169,23.6,0,6,4,3,0,1,1.37,1,0,paid_search,13.48,161.76
1173,22.5,6,19,4,5,0,0,4.19,1,0,paid_search,9.16,109.92
1176,10.6,6,16,4,2,0,1,2.26,1,1,organic,13.04,156.48
1183,17.3,3,4,6,2,1,1,0.66,1,0,organic,14.03,168.36
1184,9.2,4,4,2,8,1,0,3.72,1,0,paid_search,8.18,98.16
1197,33.3,6,9,6,7,0,0,1.7,0,0,app_store,10.09,121.08
1199,37.3,5,19,4,1,1,0,1.88,1,1,referral,9.43,113.16
1202,47.3,6,20,4,8,1,1,2.4,0,0,organic,15.03,180.36
1203,15.2,5,23,6,1,1,0,2.64,0,1,paid_search,9.36,112.32
1212,27.6,5,10,3,5,0,1,1.56,0,1,referral,15.09,181.08
1216,18.6,4,9,5,4,1,0,1.29,0,0,paid_search,8.94,107.28
1219,26.1,1,4,5,7,1,2,1.23,1,0,paid_search,21.31,255.72
1222,21.5,2,3,3,6,0,1,2.52,1,0,organic,14.62,175.44
1231,31.7,1,4,2,6,1,1,0.77,0,1,organic,14.66,175.92
1234,7.8,4,9,3,6,0,1,0.66,1,0,paid_search,14.48,173.76
1241,2.8,4,8,4,5,0,0,0.02,1,0,referral,7.89,94.68
1252,45.9,2,7,3,4,0,0,1.97,1,1,referral,9.07,108.84
1255,6.9,5,7,2,1,0,1,1.23,0,1,referral,13.18,158.16
1257,24.4,4,9,1,2,0,2,4.77,1,2,organic,21.15,253.8
1262,9.0,3,12,4,8,0,0,1.16,0,0,paid_search,9.47,113.64
1264,15.9,5,11,4,1,0,0,1.06,1,1,paid_search,9.49,113.88
1266,12.2,4,11,5,2,0,1,0.48,0,3,organic,14.52,174.24
1268,16.5,2,3,6,6,1,1,0.87,1,1,organic,14.5,174.0
1270,17.5,2,13,6,1,0,1,3.83,1,0,organic,15.52,186.24
1273,18.6,2,2,4,6,0,2,0.19,1,0,organic,23.31,279.72
1274,23.2,2,0,5,8,0,0,1.5,1,1,app_store,8.09,97.08
1293,10.3,6,12,2,8,0,0,0.85,1,1,paid_search,8.04,96.48
1295,10.1,0,4,4,8,1,1,3.2,0,0,paid_search,14.79,177.48
1296,43.5,3,6,2,2,0,1,1.5,1,0,referral,14.34,172.08
1305,14.3,5,17,4,3,1,0,1.8,0,1,paid_search,8.63,103.56
1306,12.8,6,17,1,1,1,0,4.23,0,1,paid_search,8.11,97.32
1309,17.7,5,14,6,8,0,1,5.22,1,1,organic,13.93,167.16
1310,22.0,2,8,5,8,1,1,0.63,0,0,paid_search,15.77,189.24
1313,18.7,6,20,2,6,1,0,1.08,1,1,organic,8.66,103.92
1316,2.3,2,12,2,1,0,1,2.97,1,2,referral,13.35,160.2
1329,7.8,1,4,6,8,0,1,1.62,0,1,referral,15.64,187.68
1331,19.0,3,8,1,8,0,1,2.83,1,1,referral,13.87,166.44
1333,1.5,1,0,3,4,1,0,6.98,0,0,organic,8.86,106.32
1339,13.2,2,13,3,4,0,1,0.9,1,0,organic,14.4,172.8
1343,38.1,3,13,4,7,0,1,0.58,1,0,organic,14.77,177.24
1352,11.7,6,17,6,7,1,1,0.7,1,0,paid_search,14.58,174.96
1355,12.7,2,3,4,1,0,1,0.79,1,1,organic,13.18,158.16
1364,3.8,4,19,3,3,0,1,1.92,0,1,paid_search,14.95,179.4
1372,11.4,1,10,5,5,1,2,3.1,0,0,paid_search,23.48,281.76
1374,34.1,2,10,1,1,0,1,0.4,0,0,paid_search,13.4,160.8
1378,25.3,3,5,1,8,2,0,0.92,1,0,referral,7.9,94.8
1381,18.6,5,24,3,4,0,2,0.33,0,1,organic,21.09,253.08
1382,20.7,7,22,6,7,2,0,0.37,1,0,app_store,9.82,117.84
1383,30.6,5,20,6,7,1,1,1.31,1,0,paid_search,15.79,189.48
1402,34.9,1,0,3,3,2,0,5.01,0,2,referral,8.0,96.0
1412,10.3,5,3,6,8,0,1,4.52,0,1,paid_search,15.01,180.12
1419,12.1,1,1,3,4,0,2,2.01,0,1,paid_search,22.08,264.96
1440,17.5,4,12,3,2,0,0,1.66,1,1,organic,7.82,93.84
1443,1.6,0,4,6,8,0,1,1.6,1,0,app_store,14.02,168.24
1456,38.1,4,14,2,3,0,1,2.11,0,0,organic,12.35,148.2
1461,14.9,4,17,5,8,0,1,0.15,1,0,app_store,13.84,166.08
1467,10.0,1,1,3,8,0,1,2.49,1,0,paid_search,13.26,159.12
1468,15.8,5,19,4,4,1,0,2.91,0,0,referral,8.8,105.6
1476,36.9,0,1,5,7,2,1,1.2,0,0,organic,15.07,180.84
1490,43.1,1,8,2,2,1,1,1.39,1,0,paid_search,14.37,172.44
1491,7.2,2,5,1,8,0,0,0.6,1,2,organic,7.25,87.0
1495,8.7,7,15,5,3,2,0,0.88,0,1,organic,8.85,106.2
1496,16.7,6,13,1,2,0,2,5.94,0,0,referral,20.6,247.2
1501,6.1,3,8,6,7,0,0,0.08,1,2,referral,8.78,105.36
1510,18.9,3,8,4,7,1,2,3.01,1,2,paid_search,22.03,264.36
1512,10.7,4,18,5,6,0,1,0.98,0,0,referral,15.39,184.68
1518,7.1,6,20,4,1,0,0,2.18,0,2,paid_search,7.97,95.64
1522,16.3,2,1,6,8,0,0,3.83,1,0,organic,9.77,117.24
1526,15.0,3,9,2,5,0,1,0.65,1,1,referral,13.73,164.76
1529,13.6,6,13,3,7,0,0,2.32,1,0,paid_search,7.78,93.36
1530,22.6,0,2,4,5,0,0,2.03,1,0,paid_search,7.96,95.52
1538,4.0,5,12,5,2,0,0,5.13,1,0,referral,8.96,107.52
1546,14.0,2,5,3,6,0,0,1.15,0,0,paid_search,8.8,105.6
1552,19.0,3,10,5,4,1,0,1.53,0,2,organic,8.17,98.04
1560,13.4,1,7,5,2,0,0,1.69,0,1,paid_search,9.15,109.8
1573,42.4,4,12,5,1,0,0,1.77,1,1,organic,8.64,103.68
1590,6.8,4,12,2,1,0,0,2.68,0,2,paid_search,8.74,104.88
1594,4.5,1,5,3,6,1,2,2.34,1,2,organic,20.65,247.8
1597,14.6,5,22,5,4,1,1,2.38,1,0,organic,15.31,183.72
1599,43.7,6,10,4,5,2,2,1.86,1,2,app_store,22.71,272.52
1600,29.3,2,7,4,4,1,1,2.79,1,0,referral,14.34,172.08
1601,15.9,1,1,5,6,0,1,3.04,1,2,paid_search,15.52,186.24
1609,21.7,6,20,1,8,0,0,4.57,1,0,referral,7.21,86.52
1612,28.5,4,10,6,6,0,0,3.57,0,0,app_store,8.34,100.08
1615,10.2,3,13,6,6,0,0,1.63,1,0,referral,9.52,114.24
1618,6.5,3,13,2,7,1,1,6.52,0,1,organic,14.56,174.72
1619,28.6,4,9,4,8,1,0,5.05,0,1,app_store,8.62,103.44
1632,40.0,5,16,4,4,1,0,2.21,0,1,paid_search,8.95,107.4
1638,14.8,1,0,1,6,0,0,2.65,0,1,organic,7.56,90.72
1639,18.1,4,13,4,5,0,1,0.86,1,0,paid_search,13.81,165.72
1641,17.2,7,17,6,7,0,0,2.56,1,1,organic,10.03,120.36
1642,19.6,2,4,2,2,0,1,3.17,1,0,organic,12.21,146.52
1645,13.7,5,19,4,3,0,0,4.14,1,0,paid_search,8.25,99.0
1646,1.9,7,18,5,6,1,0,6.33,1,1,organic,9.65,115.8
1647,12.4,2,13,3,8,0,0,0.41,1,0,paid_search,7.95,95.4
1648,6.3,4,9,3,4,0,0,2.37,0,0,organic,8.09,97.08
1652,19.7,4,18,1,2,2,1,1.23,0,0,organic,12.31,147.72
1656,16.7,4,13,1,8,2,2,0.9,0,0,referral,20.76,249.12
1666,39.7,5,9,4,4,1,0,2.2,1,0,paid_search,8.65,103.8
1667,3.2,4,5,3,2,1,0,1.4,1,1,referral,9.15,109.8
1668,4.0,0,2,3,4,1,0,1.86,1,2,paid_search,7.92,95.04
1676,24.0,1,0,3,5,0,0,7.13,1,0,paid_search,9.16,109.92
1684,12.2,3,16,3,1,0,1,1.36,0,0,organic,14.4,172.8
1715,33.0,4,19,5,4,0,1,1.58,1,0,referral,14.9,178.8
1725,13.6,3,8,2,6,1,0,1.63,1,0,organic,8.34,100.08
1733,24.3,5,23,4,7,0,1,0.47,1,0,organic,13.79,165.48
1739,39.5,4,20,2,1,0,0,0.05,1,0,app_store,7.83,93.96
1742,17.9,1,6,5,7,1,0,0.84,0,0,paid_search,9.81,117.72
1744,21.2,1,4,5,5,0,1,0.63,1,2,organic,14.11,169.32
1746,23.7,5,26,6,5,0,0,0.74,0,0,paid_search,9.88,118.56
1750,13.1,2,0,1,5,0,0,1.88,0,2,paid_search,7.36,88.32
1752,19.9,3,5,1,2,0,0,1.32,0,1,referral,7.25,87.0
1757,12.3,2,5,2,7,0,2,0.34,1,0,organic,20.3,243.6
1758,30.2,5,19,4,3,1,0,0.97,0,1,organic,8.97,107.64
1762,29.8,0,2,5,5,0,1,3.59,1,1,organic,15.35,184.2
1770,16.9,4,3,4,4,0,0,2.34,0,1,app_store,8.53,102.36
1771,10.5,0,0,1,3,0,1,3.74,1,0,referral,12.13,145.56
1773,22.6,2,4,1,2,1,1,0.1,0,1,organic,11.87,142.44
1775,10.3,3,12,2,7,0,1,2.51,1,2,referral,12.57,150.84
1776,10.6,5,6,6,7,0,0,7.77,0,1,organic,9.0,108.0
1778,19.4,5,14,6,4,0,1,1.97,1,0,paid_search,15.29,183.48
1780,32.9,1,7,5,6,1,1,1.83,1,0,referral,15.71,188.52
